2020.acl-main.232	P19-1537	0.884941
C04-1180	P02-1042	0.779112
C04-1180	hockenmaier-steedman-2002-acquiring	0.878485
C04-1180	P02-1043	0.826238
C10-1053	W03-1008	0.786924
C10-1053	J07-3004	0.874311
D16-1214	P15-1135	0.941398
D16-1214	C04-1180	0.682913
E17-1068	S14-2055	0.950284
I17-1011	W10-0721	0.75831
I17-1011	S14-2055	0.83102
I17-1011	Q14-1006	0.5
J07-3004	C04-1180	0.711358
J07-3004	P02-1042	0.905724
J07-3004	P03-1046	0.56553
J07-3004	P06-1064	0.606323
J07-3004	P02-1043	0.79729
N03-1031	E03-1008	0.765705
P02-1042	hockenmaier-steedman-2002-acquiring	0.5
P02-1042	P02-1043	0.5
P02-1043	P02-1042	0.374333
P02-1043	hockenmaier-steedman-2002-acquiring	0.563785
P03-1046	P02-1042	0.904063
P03-1046	hockenmaier-steedman-2002-acquiring	0.651437
P03-1046	P02-1043	0.732634
P06-1064	hockenmaier-steedman-2002-acquiring	0.830229
P06-1064	P02-1043	0.888803
P10-5001	J07-3004	0.850258
P15-1135	Q13-1007	0.19794
P15-1135	P02-1042	0.842746
P15-1135	J07-3004	0.808296
P15-2143	P15-1135	0.900225
P15-2143	P02-1043	0.613983
P15-2143	J07-3004	0.822289
P15-2143	P02-1042	0.575205
P15-2143	Q13-1007	0.5
Q13-1007	W12-1912	0.0650657
Q13-1007	C10-1053	0.878206
Q13-1007	P02-1043	0.687165
Q13-1007	J07-3004	0.544489
Q14-1006	W10-2920	0.20528
S14-2055	Q14-1006	0.897792
W03-1008	P02-1043	0.469137
W03-1008	hockenmaier-steedman-2002-acquiring	0.5
W06-1637	P02-1043	0.852294
W08-2306	P06-1064	0.907381
W10-2920	W10-0721	0.770068
W12-1912	C10-1053	0.795448
W12-1912	P02-1043	0.742915
W12-1912	J07-3004	0.847305
W16-3203	Q14-1006	0.748658
