2020.lrec-1.417	L18-1515	0.568782
maegaard-etal-2006-blark	maegaard-2004-nemlar-arabic	0.5
maegaard-etal-2006-blark	2004.eamt-1.15	0.5
maegaard-etal-2008-medar	maegaard-2004-nemlar-arabic	0.5
maegaard-etal-2008-medar	2004.eamt-1.15	0.5
maegaard-etal-2008-medar	maegaard-etal-2006-blark	0.5
maegaard-etal-2010-cooperation	maegaard-etal-2006-blark	0.5
