2020.acl-main.257	P18-2101	0.90757
2020.acl-main.259	D19-1227	0.538799
2020.acl-main.259	D17-1162	0.878046
2020.coling-main.335	K18-1030	0.850015
2020.coling-main.335	N18-1027	0.85089
2020.coling-main.335	P17-1194	0.853126
2021.repl4nlp-1.20	N18-1027	0.916053
2021.repl4nlp-1.20	P16-1112	0.888283
C16-1030	W16-1603	0.0607575
C16-1030	P16-1112	0.425
D17-1162	W14-1608	0.811713
D17-1297	P17-1194	0.776657
D17-1297	C16-1030	0.0986294
D17-1297	P16-1112	0.853892
K18-1030	P17-1194	0.888294
K18-1030	N18-1027	0.920247
K18-1030	P16-1112	0.835869
K18-1030	W17-5004	0.881134
N18-1027	P16-1068	0.8665
N18-1027	P17-1194	0.943039
N18-1027	P16-1112	0.875977
N18-1028	P16-1112	0.821307
N18-1028	C16-1030	0.836001
N19-1251	P17-1194	0.856235
N19-1251	W17-5032	0.856999
N19-1251	P16-1112	0.831037
N19-1251	W17-5004	0.852217
N19-1251	D17-1297	0.826452
P17-1194	P16-1112	0.5
P18-2101	W14-1608	0.878449
P18-2101	D17-1162	0.67903
W17-5004	P17-1194	0.818541
W17-5004	C16-1030	0.870248
W17-5004	P16-1112	0.5
W17-5016	P16-1068	0.395662
W17-5016	P16-1112	0.926663
W17-5020	W17-5016	0.82151
W17-5020	P16-1068	0.839997
W17-5020	C16-1030	0.846456
W17-5020	W16-0533	0.918708
W17-5032	P17-1194	0.820995
W17-5032	P16-1112	0.5
W19-4410	P17-1194	0.608825
W19-4410	C16-1030	0.927485
W19-4410	W17-5032	0.934163
W19-4410	W17-5004	0.874647
W19-4410	D17-1297	0.815123
W19-4410	P16-1112	0.5
W19-4424	P17-1194	0.930878
W19-4424	W17-5032	0.94333
W19-4424	P16-1112	0.857116
W19-4424	W17-5004	0.919341
W19-4424	D17-1297	0.858113
