2005.mtsummit-papers.32	I05-1051	0.527089
2007.iwslt-1.8	2007.mtsummit-papers.71	0.82372
2008.iwslt-evaluation.6	P08-2038	0.868481
2008.iwslt-evaluation.6	C08-1014	0.5
2008.iwslt-evaluation.6	2007.iwslt-1.8	0.5
2009.iwslt-evaluation.7	2007.iwslt-1.8	0.5
2009.iwslt-evaluation.7	P09-1036	0.5
2009.iwslt-evaluation.7	P08-2038	0.5
2009.iwslt-evaluation.7	I08-1066	0.5
2009.mtsummit-posters.25	2007.mtsummit-papers.71	0.770567
2015.mtsummit-papers.3	P12-1079	0.885606
2020.acl-main.297	D19-1541	0.407543
2020.acl-main.297	N19-1118	0.170002
2020.acl-main.302	P18-1252	0.858339
2020.acl-main.302	P16-1033	0.912898
2020.acl-main.338	P19-1345	0.819933
2020.acl-main.338	D19-1560	0.883168
2020.coling-main.148	P05-1053	0.627088
2020.coling-main.183	D17-1072	0.64964
2020.coling-main.183	D16-1072	0.853501
2020.coling-main.183	P16-1033	0.845428
2020.coling-main.266	D19-1541	0.823683
2020.coling-main.266	2020.acl-main.297	0.824494
2020.coling-main.338	P19-1229	0.638182
2020.emnlp-main.196	P17-1064	0.825829
2020.emnlp-main.196	D19-1548	0.823865
2021.acl-long.222	D18-1049	0.913664
2021.acl-long.452	D17-1072	0.796539
2021.acl-long.452	P19-1229	0.923771
2021.acl-long.452	2020.acl-main.302	0.927215
2021.acl-long.73	2020.emnlp-main.196	0.922309
2021.acl-long.73	D19-1548	0.884741
2021.ccl-1.48	P16-1033	0.717036
2021.conll-1.23	D11-1109	0.760646
2021.emnlp-main.262	D11-1084	0.767719
2021.emnlp-main.262	D18-1049	0.903212
2021.emnlp-main.707	2020.emnlp-main.562	0.725224
2021.findings-emnlp.149	2020.coling-main.338	0.883628
2021.findings-emnlp.149	P19-1229	0.815406
2021.findings-emnlp.406	2020.emnlp-main.196	0.846884
2021.findings-emnlp.406	2020.acl-main.302	0.801999
2021.naacl-main.144	2020.acl-main.297	0.617524
C10-1118	2007.mtsummit-papers.71	0.820315
C10-1118	P08-1064	0.808428
C10-1118	P09-1103	0.5
C10-2073	I08-2084	0.857902
C10-2073	E09-1096	0.884232
C10-2086	P09-1036	0.886552
C10-2086	2009.mtsummit-posters.25	0.792708
C10-2086	P09-1020	0.5
C10-2086	P08-1064	0.5
C10-2086	P08-2038	0.5
C10-2112	I08-1008	0.23473
C10-2165	C04-1103	0.5
C10-2165	P04-1021	0.5
C10-2165	W09-3501	0.5
C10-2165	W09-3502	0.5
C12-1077	Y12-1061	0.810194
C12-1077	N10-1016	0.5
C12-1103	D11-1109	0.93535
C12-2041	D12-1026	0.443298
C14-1075	C12-1103	0.877484
C14-1078	D13-1129	0.599637
C14-1078	D11-1109	0.812188
C14-1078	C12-1103	0.858885
C16-1203	P12-1095	0.894388
C16-1240	D15-1146	0.9177
C18-1183	D16-1072	0.845342
C18-1257	P17-1064	0.761036
D07-1076	P05-1053	0.924919
D07-1076	P06-1016	0.776606
D07-1076	P06-1104	0.5
D09-1073	P08-2038	0.916679
D09-1073	P06-1104	0.942046
D09-1073	P07-1026	0.628254
D09-1073	2007.mtsummit-papers.71	0.856955
D09-1073	C08-1138	0.857272
D09-1073	P08-1064	0.5
D09-1108	C08-1138	0.5
D09-1108	P09-1020	0.5
D09-1108	P08-1064	0.5
D10-1043	D09-1108	0.366976
D10-1043	2007.mtsummit-papers.71	0.74833
D10-1043	P09-1020	0.5
D10-1043	P08-1064	0.5
D12-1026	D11-1084	0.858213
D13-1129	P12-1023	0.629615
D13-1129	D11-1109	0.948858
D13-1129	C12-1103	0.727694
D13-1163	D11-1084	0.745373
D16-1072	C12-1103	0.830618
D16-1072	P15-1172	0.724149
D17-1149	P17-1064	0.855535
D18-1049	D11-1084	0.945014
D18-1049	D13-1163	0.886079
D19-1541	N19-1118	0.818401
E09-1096	I08-2084	0.716725
I05-1053	P04-1021	0.870234
I08-2109	P06-2010	0.900752
I08-2109	P07-1026	0.892395
I11-1135	C10-2165	0.138036
I11-1135	C04-1103	0.5
I11-1135	W09-3502	0.5
I17-1006	C14-1075	0.641626
I17-1006	P16-1033	0.853955
J10-3009	P08-2038	0.858008
J10-3009	I08-1066	0.939151
J10-3009	P08-1064	0.846608
K19-2014	S19-2002	0.758372
N06-1037	P05-1053	0.5
N10-1016	P09-1036	0.852114
N10-1016	I08-1066	0.5
N19-1118	P17-1064	0.696123
P06-1016	I05-1034	0.93572
P06-1016	P05-1053	0.864337
P06-1104	P05-1053	0.5
P07-1026	P06-1104	0.842473
P07-1026	P06-2010	0.5
P09-1020	C08-1138	0.5
P09-1020	P08-1064	0.5
P09-1036	C08-1127	0.822854
P09-1103	P08-1064	0.555183
P09-1103	C08-1138	0.5
P09-1106	C08-1014	0.832383
P09-1106	P08-1064	0.843256
P09-4006	I08-2084	0.829486
P09-4006	E09-1096	0.5
P10-1032	P06-1104	0.833494
P10-1032	2007.mtsummit-papers.71	0.677302
P10-1032	P08-1064	0.836887
P10-1032	P09-1103	0.845996
P10-1090	P06-1104	0.917321
P10-1090	P08-1064	0.833375
P10-1090	D09-1108	0.5
P10-1090	P09-1020	0.5
P10-1090	D09-1073	0.5
P10-1090	P06-2010	0.5
P10-1090	P07-1026	0.5
P11-2094	P04-1021	0.799914
P11-2094	W09-3501	0.873539
P13-1043	P12-1023	0.715706
P14-1043	C12-1103	0.917666
P14-1043	D13-1129	0.895096
P14-1137	P12-1079	0.588216
P15-1023	P12-1079	0.93568
P15-1023	P14-1137	0.852105
P15-1172	C12-1103	0.827616
P15-1172	P14-1043	0.750353
P15-1172	C14-1075	0.842938
P16-1033	C14-1075	0.946592
P18-1252	P16-1033	0.654377
P19-1229	P18-1252	0.921905
P19-1229	P14-1043	0.843831
P19-1345	D18-1401	0.853282
W09-3501	P04-1021	0.5
W09-3502	P04-1021	0.5
W10-2401	P04-1021	0.5
W10-2401	W09-3501	0.5
W10-2402	P04-1021	0.854044
W11-3201	W10-2401	0.257521
W11-3201	W10-2402	0.5
W11-3201	P04-1021	0.5
W11-3201	W09-3501	0.5
W11-3202	P04-1021	0.839488
W12-4401	P04-1021	0.5
W12-4402	P04-1021	0.956117
W12-4402	W10-2401	0.455916
W12-4402	W11-3201	0.256256
W12-4402	W10-2402	0.5
W12-4402	W09-3501	0.5
W12-4402	W11-3202	0.5
W15-2504	D11-1084	0.93525
W15-2504	P12-1079	0.906029
W15-2504	D13-1163	0.898249
W15-3901	P04-1021	0.5
W15-3902	W10-2402	0.5
W15-3902	P04-1021	0.5
W15-3902	W10-2401	0.5
W15-3902	W11-3202	0.5
W15-3902	W11-3201	0.5
W16-2708	P04-1021	0.668693
W16-2709	P04-1021	0.691542
W16-2709	W10-2401	0.722231
W16-2709	W11-3202	0.5
W16-2709	W12-4402	0.5
W16-2709	W11-3201	0.5
W18-2408	P04-1021	0.453791
W18-2409	P04-1021	0.614661
W18-2409	W10-2401	0.712599
Y12-1061	N10-1016	0.794326
