2020.coling-main.30	2020.lrec-1.8	0.885516
2020.lrec-1.135	moldovan-blanco-2012-polaris	0.729203
blanco-etal-2008-causal	W04-2609	0.5
blanco-etal-2008-causal	W04-2610	0.5
blanco-etal-2008-causal	J06-1005	0.5
blanco-etal-2008-causal	N03-1011	0.5
C02-1167	W99-0501	0.5
C02-1169	P01-1037	0.5
C10-2009	W04-2609	0.832612
C10-2009	J06-1005	0.880656
C10-2009	W07-1404	0.898013
D10-1031	C10-2009	0.818952
D10-1031	W03-1207	0.313621
D10-1031	J06-1005	0.898066
D13-1123	moldovan-blanco-2012-polaris	0.896368
D13-1123	H05-1047	0.763697
davis-moldovan-2010-feasibility	W06-3121	0.5
E14-1016	P11-1146	0.716211
E14-1016	moldovan-blanco-2012-polaris	0.846444
erekhinskaya-etal-2014-multilingual	moldovan-blanco-2012-polaris	0.5
H05-1047	C02-1167	0.746102
H05-1047	P01-1052	0.811957
H05-1047	N03-1022	0.816395
H05-1047	W04-2609	0.773601
H05-1112	N03-1011	0.92423
H05-1112	W04-2609	0.900399
H05-1112	W04-0848	0.811604
J06-1005	N03-1011	0.888805
J06-1005	H05-1112	0.735372
J06-1005	W04-2609	0.888751
J06-1005	W04-0848	0.743602
J06-1005	H05-1047	0.642971
L18-1077	moldovan-blanco-2012-polaris	0.823074
moldovan-blanco-2012-polaris	H05-1112	0.5
moldovan-blanco-2012-polaris	H05-1047	0.5
moldovan-blanco-2012-polaris	P11-1146	0.5
moldovan-blanco-2012-polaris	balakrishna-etal-2010-semi	0.5
N03-1022	P02-1005	0.505389
N03-1022	P01-1052	0.244805
N03-1022	C02-1167	0.5
N12-1050	P11-1059	0.8915
P01-1037	P00-1071	0.5
P01-1052	W99-0501	0.5
P06-1113	C02-1167	0.5
P06-1113	N03-1022	0.5
P06-1113	P01-1052	0.5
P06-2105	C02-1167	0.568855
P06-2105	P01-1052	0.407795
P06-2105	N03-1022	0.580308
P06-2105	H05-1047	0.5
P11-1146	W11-0106	0.783078
tatu-moldovan-2012-tool	W07-1404	0.5
tatu-moldovan-2012-tool	P06-2105	0.5
W04-0840	P01-1052	0.80227
W04-0840	N03-1022	0.907114
W04-2609	N03-1011	0.590975
W04-2609	W04-2610	0.739062
W04-2610	W04-2609	0.796026
W11-0106	J06-1005	0.815317
W11-0106	W04-2609	0.767188
W18-3803	D13-1123	0.838501
